Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,70812513000.2,73534070005.6,78009484284.2,84536149968.6,92984338275.3,97382984893.9,104298061844.4,110816248179.5,116013831061.8,127773682667.1,134847202565.6,146829940251.3,169741381680.8,207915481088.4,239282887906.3,261347575658.3,280351132158.6,308988221945.3,363991767440.1,423984298569.3,449887486395.5,447456279701.1,444782888257.7,454551490167.8,462498950565.7,480732757497.7,560490298405.9,623300668094.2,688389295285.3,719785367495.0,757184995228.0,822148746505.7,857182476536.1,852502107783.0,1330167597.8,1320670391.1,1379888268.2,1531843575.4,1665363128.5,1722798882.7,1873452514.0,1920262569.8,1941094972.1,2021301676.0,2228279329.6,2331005586.6,2421474860.3,2623726257.0,2791960893.9,2498932960.9,2467703910.6,2584463687.2,2489832751543.2,2568666360218.0,2654314241134.0,2505671123614.0,2586241268470.9,2847927559896.7
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666637.8,1399999966.7,1673333417.8,1373333366.7,1408888922.2,1748886595.6,1831108971.1,1595555475.6,1733333264.4,2155555497.8,2366666615.6,2555555566.7,2953333417.8,3300000108.9,3697940409.6,3641723322.0,3478787909.1,444782888257.7,454551490167.8,462498950565.7,480732757497.7,560490298405.9,623300668094.2,688389295285.3,719785367495.0,757184995228.0,822148746505.7,857182476536.1,852502107783.0,895470721674.9,961836646936.1,986741893888.6,990068716945.2,979228646691.8,1001216892553.9,1008912870379.6,2461665937.9,4128820723.0,4583644246.5,5285465685.9,6275073571.5,7057598406.6,9843842455.5,10190529882.5,12486943505.7,15936800636.2,17930239399.8,20536542736.7,20264253973.8,20616104298.5,19215562179.0,19469022207.7,20815300220.0
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,70812513000.2,73534070005.6,78009484284.2,84536149968.6,92984338275.3,97382984893.9,104298061844.4,110816248179.5,116013831061.8,127773682667.1,134847202565.6,146829940251.3,169741381680.8,207915481088.4,239282887906.3,261347575658.3,280351132158.6,308988221945.3,363991767440.1,423984298569.3,5934073603.5,5553824463.8,5553824463.8,5787823808.7,6135166254.2,7558613007.9,7076793822.6,8089279284.7,8775116269.2,10207922517.2,11236275842.7,822148746505.7,857182476536.1,852502107783.0,3390500000.0,5561222222.2,6537503912.4,7676533742.3,6506619144.6,6152936539.2,9129634978.3,8936063723.2,12497347956.1,14188949398.4,19640853733.6,28233712738.0,41789479931.7,60448924661.8,84178035578.8,75492385928.3,82526143645.1,104115807986.0,113923162050.1,124912503781.1,126730196125.4,102621215573.5,95337203468.1,124209385825.2
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,70812513000.2,73534070005.6,78009484284.2,84536149968.6,92984338275.3,97382984893.9,104298061844.4,110816248179.5,116013831061.8,127773682667.1,134847202565.6,146829940251.3,169741381680.8,207915481088.4,239282887906.3,261347575658.3,280351132158.6,308988221945.3,363991767440.1,423984298569.3,449887486395.5,447456279701.1,444782888257.7,454551490167.8,1924242453.0,1965384586.2,2173750012.5,2156624900.0,2126000000.0,2335124987.5,2101624962.5,1139166645.8,709452583.9,1228071037.8,1985673798.1,2424499009.1,3314898291.8,2359903108.4,2707123772.2,3414760915.3,3632043908.0,4060758804.1,4435078647.7,5746945912.6,7314865175.6,8158548716.7,8992642348.8,10701011896.8,12881352687.8,12044212903.8,11926953258.9,12890867538.5,12319784787.3,12776277515.5,13228244357.2,11386931489.8,11883682170.8,13039352744.0
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,70812513000.2,73534070005.6,78009484284.2,84536149968.6,92984338275.3,97382984893.9,104298061844.4,110816248179.5,116013831061.8,127773682667.1,78619206.1,89409820.4,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594.0,611316399.4,721425939.2,795449332.4,1029048481.9,1106928582.9,1210013651.9,1007025755.0,1017549124.3,1178738991.2,1223945356.6,1180597272.7,1211932397.8,1239876305.1,1434429703.3,1496912751.7,1733116883.1,2398645598.2,2935659299.7,3255789081.0,3543256805.9,4016972351.5,4007353156.6,3660530703.0,3355695364.2,3442062830.1,3164615186.9,3281585236.3,3350736367.3,2811489408.9,2877311946.9,3012914131.2
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,70812513000.2,73534070005.6,78009484284.2,84536149968.6,92984338275.3,97382984893.9,104298061844.4,110816248179.5,25760683040.9,28434203615.3,31385499663.9,36426909888.1,43316056615.2,55018394945.2,105145803083.7,116337021937.6,144846175399.5,167308327682.5,183555544341.0,248646206365.3,338177454715.3,348592795410.8,324328753763.1,303962539721.0,307940771856.5,303893618413.5,289029150637.5,312681678327.8,307503035640.4,322325140492.6,446877161732.2,439779177862.4,471163515476.6,476513630617.5,487526906264.1,523759898275.1,578231297753.5,613279452458.9,591525594004.3,643889670868.9,735025140321.6,723282816386.4,729051715398.5,823110541434.9,963862340514.1,1184661549862.4,1404113530791.2,1637573196525.4,2078115659876.5,1795819607113.1,2109550811385.9,2501304511876.7,2786139307967.4,2866038091981.5,2906918403546.9,2554479933648.4,2500164034395.8,2591047461124.4
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,70812513000.2,73534070005.6,78009484284.2,84536149968.6,92984338275.3,97382984893.9,104298061844.4,110816248179.5,116013831061.8,127773682667.1,134847202565.6,146829940251.3,169741381680.8,207915481088.4,239282887906.3,14720672506.5,19213022691.1,24871775164.6,23775831783.4,31225463217.8,43598748449.0,49333424135.1,46622718605.3,42803323345.1,41807954235.9,40603650231.5,33943612094.8,36384908744.2,36275674203.2,41464995913.9,50701443748.3,51552165622.4,54239171887.8,55625170253.3,59305093979.8,65743666575.9,73571233996.2,78839008444.6,75674336283.2,84445473111.0,104337372362.2,103311640571.8,109816201497.6,124346358066.7,147824370319.9,180617018379.8,222116541865.2,257916133424.1,315474615738.6,253547358747.4,289787338325.4,350666031313.8,374590605854.3,390107556160.7,403137100068.1,358135057862.5,357045064669.8,382575085091.9
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,70812513000.2,73534070005.6,78009484284.2,84536149968.6,92984338275.3,97382984893.9,104298061844.4,110816248179.5,116013831061.8,127773682667.1,134847202565.6,16646599770.0,27786400318.0,47289600372.0,65193099976.0,48505749702.5,51169498443.6,56780999755.9,58082870733.5,69252330274.1,76961921890.7,78676840049.3,84307484567.9,103979107312.4,79092000000.0,88416666666.7,110934444444.4,111106190476.2,126206818181.8,76636898126.2,141352368724.0,189719984268.5,228788617201.7,236741715015.0,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.9,127586973492.2,164657930452.8,198737095012.3,232557260817.3,287530508430.6,361558037110.4,332976484577.6,423627422092.5,530163281574.7,545982375701.1,552025140252.2,526319673731.6,594749285413.2,554860945013.6,637590419269.3
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,70812513000.2,73534070005.6,78009484284.2,84536149968.6,92984338275.3,97382984893.9,104298061844.4,110816248179.5,116013831061.8,127773682667.1,134847202565.6,146829940251.3,169741381680.8,207915481088.4,239282887906.3,261347575658.3,280351132158.6,308988221945.3,363991767440.1,423984298569.3,449887486395.5,447456279701.1,444782888257.7,454551490167.8,462498950565.7,480732757497.7,560490298405.9,623300668094.2,688389295285.3,719785367495.0,2256838857.6,2069870129.9,1272835453.4,1201312829.3,1315158636.7,1468317435.2,1596968946.2,1639492444.8,1893726437.3,1845482173.0,1911563668.9,2118467913.4,2376335048.4,2807061008.7,3576615240.4,4900469950.1,6384451606.1,9206301700.4,11662040713.9,8647936748.0,9260284937.8,10142111334.5,10619320048.6,11121465767.4,11609512939.8,10553337673.0,10546135160.0,11536590635.8
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,70812513000.2,73534070005.6,78009484284.2,84536149968.6,92984338275.3,97382984893.9,104298061844.4,110816248179.5,116013831061.8,127773682667.1,134847202565.6,146829940251.3,169741381680.8,207915481088.4,239282887906.3,261347575658.3,280351132158.6,308988221945.3,363991767440.1,423984298569.3,449887486395.5,447456279701.1,444782888257.7,454551490167.8,462498950565.7,480732757497.7,560490298405.9,623300668094.2,688389295285.3,719785367495.0,757184995228.0,822148746505.7,857182476536.1,852502107783.0,895470721674.9,961836646936.1,986741893888.6,990068716945.2,979228646691.8,1001216892553.9,1008912870379.6,1006550390728.4,514000000.0,527000000.0,512000000.0,503000000.0,496000000.0,520000000.0,563000000.0,678000000.0,576000000.0,574000000.0,644000000.0,641000000.0,643000000.0,659000000.0,658000000.0,2847927559896.7
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,70812513000.2,73534070005.6,78009484284.2,84536149968.6,92984338275.3,97382984893.9,104298061844.4,110816248179.5,116013831061.8,127773682667.1,134847202565.6,146829940251.3,169741381680.8,207915481088.4,239282887906.3,261347575658.3,280351132158.6,77496740.7,87879333.3,109079963.0,131431037.0,147841740.7,164369296.3,182144111.1,208372851.9,240923925.9,290440148.1,337174851.9,398637740.7,438794777.8,459469074.1,481706333.3,499281148.1,535172777.8,589429592.6,577280740.7,633730629.6,680617111.1,727860592.6,766198925.9,830158777.8,800740259.3,814615333.3,855643111.1,919577148.1,1022191296.3,1157005444.4,1311401333.3,1368431037.0,1224253000.0,1152469074.1,1142042925.9,1211411703.7,1192925407.4,1280133333.3,1364863037.0,1460144703.7,1532397555.6
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18573188487.0,19648336879.8,19888005375.7,21501847911.3,23758539590.1,25931235300.7,27261731436.9,30389741292.4,32657632433.6,36620002239.9,41261059469.1,45138313361.0,51954439252.3,63721973094.2,88809137804.0,97147343984.7,104894743476.6,110174351915.6,118309271373.8,134679086675.0,149738161559.9,176599326599.3,193721725697.9,176986429574.2,193194167723.2,180190994860.8,181977476217.1,189041159343.6,235699941792.8,299317645142.9,310838014621.0,325358292127.8,324878105052.7,311528948847.7,322201314424.1,367216364716.4,400302731411.2,434568007512.9,398899138574.2,388395162301.0,415034227218.5,378215090694.4,394486709920.5,466294700058.2,611904253805.7,692641708013.8,745521862833.2,851962785585.3,1052584601611.5,926448240318.1,1144260547872.8,1394280784777.7,1543411012579.9,1573696522006.8,1464955475993.8,1349034029453.4,1208039015868.4,1323421072479.1
